id_praga,praga_nome_cientifico
319,Oryza sativa
320,Avena sativa
321,Avena strigosa
322,Hordeum vulgare
323,Triticum aestivum
324,Aulacaspis tubercularis
325,Diaspis bromeliae
326,Anthonomus grandis
327,Tibraca limbativentris
328,Hypothenemus hampei
329,Thaumascotocoris peregrinus
330,Toxoptera citricida
331,Diceraeus melacanthus
332,Aleurocanthus woglumi
333,Selenothrips rubrocinctus
334,Desmodium tortuosum
335,Hyptis lophanta
336,indigosfera hirsuta
337,Cyperus sesquiflorus
338,Desmodium adscendens
339,Indigofera hirsuta
340,Melampodium perfoliatum
341,Diatraea saccharalis
342,Chrysodexis includens
343,Lyriomyza spp.
344,Borreria verticillata
345,Colletotrichum gossypii
346,Fusarium oxysporum f.sp. vasinfectum
347,Lasiodiplodia theobromae
348,Penicillium spp.
349,Alternaria spp.
350,Aspergillus spp.
351,Fusarium oxysporum f.sp. phaseoli
352,Fusarium solani f.sp. phaseoli
353,Pythium spp.
354,Colletotrichum graminicola
355,Stenocarpella maydis
356,Colletotrichum dematium truncata
357,Diaporthe phaseolorum f.sp. meridionalis
358,Aspergillus niger
359,Colletotrichum arachidis
360,Colletotrichum dematium
361,Colletotrichum mangenoti
362,Fusarium spp.
363,Fusarium verticillioides
364,Rhizoctonia spp.
365,Colletotrichum sublineolum
366,Pythium arrhenomanes
367,Alternaria grandis
368,Puccinia substriata var. indica
369,Exserohilum turcicum
370,Cercospora flagelaris
371,Colletotrichum clivae
372,Colletotrichum truncatum
373,Diaporthe longicolla
374,Diaporthe miriciae
375,Diaporthe ueckerae
376,Fusarium equiseti
377,Fusarium incarnatum
378,Fusarium proliferatum
379,Puccinia purpurea
380,Dysmicoccus brevipes
381,Procornitermes striatus
382,Conoderus scalaris
383,Dysmicoccus texensis
384,Oncometopia facialis
385,Quesada gigas
386,Heterotermes tenuis
387,Mahanarva fimbriolata
388,Parlatoria cinerea
389,Aphis craccivora
390,Aparatermes abbreviatus
391,Leptocybe invasa
392,Epitrix fasciata
393,Myzus nicotianae
394,Capitophorus fragaefolli
395,Eurhizococcus brasiliensis
396,Dactylopius opuntiae
397,Sitophilus oryzae
398,Sitophilus zeamais
399,Sitotroga cerealella
400,Rhizopertha dominica
401,Chamaesyce hirta
402,Tridax procumbens
403,Xanthium cavanillesii
404,Botryosphaeria dothidea
405,Neofabraea perennans
406,Penicillium expansum
407,Xanthomonas axonopodis pv. malvacearum
408,Xylella fastidiosa
409,Pseudomonas cichori
